Experiment key,run_name,model,Server start time,Duration,data_set,best_model_score_0,best_model_score_1,best_model_score_2,best_model_score_3,best_model_score_4,avg_saved_prototypes,table_entry,val_acc_0,val_acc_1,val_acc_2,val_acc_3,val_acc_4,lr,Batch size,pc_prototypes_init,pc_number_of_prototypes,pc_sim_func,pc_project_prototypes_every_n,pc_cls_loss_weight,pc_sep_loss_weight,pc_separation_threshold,pc_conv_filters,Current epoch,seed,avg_best_scores,std_best_scores
abdf1d3d23b94cfa9dcd5e398788b20e,repeat_4_prot_bench,protoconv,1623736122801,1453,rottentomatoes,0.71683,0.72699,0.58116,0.574,0.74612,4,0.669 ($\pm$0.075),0.712,0.72183,0.54616,0.55383,0.73778,0.001,32,rand,4,log,1,0.005,0.005,1,64,16,0,0.66902,0.07528
0170edd162264c9085c1295eafa4e19b,repeat_32_prot_bench,protoconv,1623735147428,1701,amazon,0.87866,0.87633,0.88033,0.88233,0.88266,32,0.880 ($\pm$0.002),0.87183,0.87633,0.87816,0.88016,0.8805,0.001,32,rand,32,log,1,0.005,0.005,1,64,20,0,0.88006,0.00236
ac5ffad357b54063a011b250d6eca985,repeat_8_prot_bench,protoconv,1623734468304,4097,imdb,0.85299,0.651,0.8478,0.666,0.7522,8,0.754 ($\pm$0.086),0.85199,0.6424,0.84579,0.6484,0.72879,0.001,32,rand,8,log,1,0.005,0.005,1,64,14,0,0.754,0.08597
413236afa4794b38850be31a5c4b043c,repeat_2_prot_bench,protoconv,1623733784171,661,hotel,0.77473,0.69157,0.5,0.75447,0.66174,2,0.677 ($\pm$0.097),0.77263,0.68736,0.5,0.71759,0.64699,0.001,32,rand,2,log,1,0.005,0.005,1,64,15,0,0.6765,0.09729
3885ac9b5ea5419db00fb18a025eadac,repeat_2_prot_bench,protoconv,1623732508445,1273,rottentomatoes,0.58666,0.55849,0.6085,0.55383,0.58743,2,0.579 ($\pm$0.020),0.55416,0.51533,0.56366,0.526,0.57059,0.001,32,rand,2,log,1,0.005,0.005,1,64,11,0,0.57898,0.02026
02c21291a5bf4eb2b5390b8d110e4326,repeat_32_prot_bench,protoconv,1623732110553,3034,imdb,0.85519,0.855,0.8536,0.8636,0.86019,32,0.858 ($\pm$0.004),0.85519,0.8464,0.8474,0.861,0.85659,0.001,32,rand,32,log,1,0.005,0.005,1,64,15,0,0.85752,0.00377
162d91c0b39747d29dda54b499edc861,repeat_16_prot_bench,protoconv,1623731546376,541,hotel,0.88526,0.69684,0.91263,0.75553,0.88724,16,0.828 ($\pm$0.085),0.87999,0.69684,0.90315,0.75553,0.88724,0.001,32,rand,16,log,1,0.005,0.005,1,64,29,0,0.8275,0.08532
29953e7d529c419cb4e75a5a859aab18,repeat_4_prot_bench,protoconv,1623731032586,5088,yelp,0.828,0.83366,0.83099,0.59816,0.82397,4,0.783 ($\pm$0.092),0.82266,0.824,0.82766,0.57849,0.8143,0.001,32,rand,4,log,1,0.005,0.005,1,64,25,0,0.78296,0.09245
fcef8319b44e40d5b165431629f5d2f8,repeat_16_prot_bench,protoconv,1623730589783,953,rottentomatoes,0.61966,0.74566,0.74983,0.66149,0.74995,16,0.705 ($\pm$0.055),0.61383,0.74266,0.744,0.65783,0.73812,0.001,32,rand,16,log,1,0.005,0.005,1,64,12,0,0.70532,0.05451
90abd07439e24f669ef2e680ab6679c4,repeat_64_prot_bench,protoconv,1623729829678,455,hotel,0.89999,0.69789,0.91157,0.70073,0.89567,64,0.821 ($\pm$0.100),0.89999,0.68947,0.9021,0.68703,0.88303,0.001,32,rand,64,log,1,0.005,0.005,1,64,19,0,0.82117,0.09963
